Date Input,Description,Total Cost,Commitee,Comments
6/25/2023,NILA Summits,$975.00,Eboard,Cost of CCLP Summit + 2 President Summits Registration
7/11/2023,B2School Fundraiser ,$161.99,Treasurer,Back to school fundraiser biggest prize - TV
8/3/2023,RT Merch,$866.73,RT Fund 23-24,Pants
8/3/2023,RT Merch,"$1,609.35",RT Fund 23-24,WindBreaker
8/13/2023,Welcome Week,$232.68,Membershpe,Tiedye 
8/17/2023,Vertical + Horizontal Banners,$333.31,Publicity,New banners w/ stands
8/19/2023,B2School Fundraiser ,$32.39,Treasurer,Air Fryer
8/19/23,Storage Locker,$116.00,Secretary,Storage Locker
8/20/2023,Welcome Week,$93.14,Membershpe,Tiedye and  etc mats for welcome week
8/21/2023,Welcome Week,$14.09,Membershpe,ice
8/21/2023,Welcome Week,$97.01,Membershpe,Canopy
8/21/2023,Welcome Week,$206.66,Membershpe,conchas
8/23/2023,Welcome Week,$88.75,Membershpe,pizza 
8/23/2023,Welcome Week,$447.98,Membershpe,picnic supplies
8/24/2023,Welcome Week,$196.55,Membershpe,picnic supplies
8/25/2023,Canva,$27.00,Publicity,Canva Premium
8/25/2023,GBM,$520.15,Student Advisor,Manolos
8/25/2023,Welcome Week,$64.41,Membershpe,Quad Day
8/26/2023,Welcome Week,$34.40,Membershpe,picnic supplies
8/26/2023,Welcome Week,$42.44,Membershpe,picnic supplies
8/26/2023,Welcome Week,$47.03,Membershpe,picnic supplies
8/26/2023,Welcome Week,$86.32,Membershpe,picnic supplies
8/26/2023 19:45:24,,0,Membershpe,
8/27/2023,Leadershpe retreat,$300.00,President,fern's
8/28/2023,Paleta Social,$27.75,Internal,Palet Social reimbursement
8/28/2023,Welcome Week,$26.06,Membershpe,picnic supplies
8/28/2023 11:33:27,Leadershpe Retreat,91.02,President,
8/28/2023 11:34:07,Leadershpe Retreat,39.25,President,
8/28/2023 11:34:47,Leadershpe Retreat,36.3,Membershpe,
9/1/2023,Grad social,$110.32,Grad Ambassador,Brewlab Social
9/1/2023,Office Decor,$27.00,Secretary,Posters in office
9/17/2023 15:57:51,Office Cleanup,$56.24,Secretary,
9/18/2023,SHPE Drive GMAIL Storage Plan Upgrade,$17.91,Publicity,Google Storage upgrade from free 15GB plan to 100GB plan; $1.99 charged per month; Do we keep this as a recurring payment forever? 
9/19/2023 23:03:00,RT,$40.00,Internal,
9/21/2023,Game Night,$73.21,Membershpe,pizza
9/22/2023,SHPEtina,$88.56,Secretary,SHPEtina Event
9/24/2023 16:50:04,"25.24 (GradCollective - conchas), 183.67 (undergrad research- Manolo’s)",208.91,Grad Ambassador,
9/27/2023 12:15:39,SHPE Game Night,$73.21,Membershpe,
9/27/2023 12:16:56,Burns and Mac Full Time Presentation,$131.98,External,
9/28/2023,Financial Literacy Event,$125.10,Treasurer,"Student Budgeting 101, jimmy johns"
9/29/2023,External Team Event,$161.05,External,Pizza for P&G event
9/29/2023,Homecoming,"$1,500.00",Membershpe,Tailgate spot
9/29/2023,Leadershpe polos,"$1,217.20",Eboard,Leadershpe Polos
